Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Entry: *putayʔta | Absolutive: puhtayʔtaw | Generated Absolutive: putayʔtaw
Entry: *pʰabo·c | Absolutive: pʰboʔ | Generated Absolutive: pʰaboʔ
Entry: *pʰacʼotʰqo | Absolutive: pʰacʼotʰqo | Generated Absolutive: pʰacʼotʰqow
Entry: *pʰakʼahci | Absolutive: pʰaʔkʼahciw | Generated Absolutive: pʰakʼahciw
Entry: *pʰakʼum | Absolutive: pʰakʼum | Generated Absolutive: pʰakʼumʔ
Entry: *pʰasʼayʔṭa | Absolutive: pʰasʼayṭaw | Generated Absolutive: pʰasʼayʔṭaw
Entry: *pʰaṭʼahway | Absolutive: pʰaṭʼahway | Generated Absolutive: pʰaṭʼahwayʔ
Entry: *pʰaʔṭʼawʔduc | Absolutive: pʰaʔṭʼawʔdu | Generated Absolutive: pʰaʔṭʼawʔduʔ
Entry: *pʰe·cʼ | Absolutive: pʰe·cʼ | Generated Absolutive: pʰeʔ
Entry: pʰibe·lma | Absolutive: pʰibelmaw | Generated Absolutive: pʰibelma
Entry: *pʰicʼah | Absolutive: pʰicʼah | Generated Absolutive: pʰicʼaʔ
Entry: *pʰihtimaqʷ | Absolutive: pʰihtimaqʷ | Generated Absolutive: pʰihtimaʔ
Entry: *pʰikʼahci | Absolutive: pʰiʔkʼahciw | Generated Absolutive: pʰikʼahciw
Entry: *pʰikʼoyʔcʼiwacʼ | Absolutive: pʰikʼoyʔciwaʔ | Generated Absolutive: pʰikʼoyʔcʼiwaʔ
Entry: *pʰilohtoqocʼ | Absolutive: pʰilohtoqocʼ | Generated Absolutive: pʰilohtoqoʔ
Entry: *pʰimam | Absolutive: pʰimam | Generated Absolutive: pʰimamʔ
Entry: *pʰiʔtʼamad | Absolutive: pʰiʔtʼamadu | Generated Absolutive: pʰiʔtʼama·du
Entry: *pʰobo·kʼma | Absolutive: pʰoboʔ | Generated Absolutive: pʰobokʼmaw
Entry: *pʰoʔkʼoṭʰkʼoṭʰo·wad | Absolutive: pʰoʔkʼoṭʰkʼoṭʰowa·du | Generated Absolutive: pʰoʔkʼoṭʰkʼoṭʰo·wadu
Entry: *pʰukʼahci | Absolutive: šuʔkʼahciw | Generated Absolutive: pʰukʼahciw
Entry: *qabohšaq | Absolutive: qabohsaʔ | Generated Absolutive: qabohšaʔ
Entry: qada·la | Absolutive: qada·law | Generated Absolutive: qada·la
Entry: *qahcoqacotad | Absolutive: qacoqacota·du | Generated Absolutive: qahcoqacota·du
Entry: *qahcʰaqacʰatad | Absolutive: qahcʰaqahcʰaw | Generated Absolutive: qahcʰaqacʰata·du
Entry: *qahpola·tad | Absolutive: qahpola·tad | Generated Absolutive: qahpola·tadu
Entry: *qahpʰohpʰo | Absolutive: qahpʰoqahpʰow | Generated Absolutive: qahpʰohpʰow
Entry: *qahpʰula·tad | Absolutive: qahpʰula·tad | Generated Absolutive: qahpʰula·tadu
Entry: *qahṭekeye | Absolutive: qahṭakeyew | Generated Absolutive: qahṭekeyew
Entry: *qako·lma | Absolutive: qakolmáw | Generated Absolutive: qakolmaw
Entry: *qaqawa·tad | Absolutive: qaqawá·tadu | Generated Absolutive: qaqawa·tadu
Entry: *qatʼehtimqa | Absolutive: qatʼehtimqaʔ | Generated Absolutive: qatʼehtimqaw
Entry: *qaʔṭu | Absolutive: qaʔṭʼuw | Generated Absolutive: qaʔṭuw
Entry: *qaʔṭʼawʔduc | Absolutive: qaʔṭʼawʔdu | Generated Absolutive: qaʔṭʼawʔduʔ
Entry: *qoca·tad | Absolutive: qoca·tadu | Generated Absolutive: qocata·du
Entry: *qowa·taq | Absolutive: qowa·tadu | Generated Absolutive: qowa·taʔ
Entry: *qʰaditicʼ | Absolutive: qʰaditicʼ | Generated Absolutive: qʰaditiʔ
