Entry: *baqʼahci | Absolutive: baqʼahciw | Generated Absolutive: baqʼahciw
Entry: *baqʼa·ṭ | Absolutive: baqʼaʔ | Generated Absolutive: baqʼaʔ
Entry: *basat | Absolutive: basaʔ | Generated Absolutive: basaʔ
Entry: *basatʰqa | Absolutive: None | Generated Absolutive: basatʰqaw
Entry: *basa·bic | Absolutive: basa·biʔ | Generated Absolutive: basa·biʔ
Entry: *basʼatam | Absolutive: basʼatamʔ | Generated Absolutive: basʼatamʔ
Entry: *basʼayla | Absolutive: basʼaylaw | Generated Absolutive: basʼaylaw
Entry: *basʼayʔṭa | Absolutive: basʼayʔṭaw | Generated Absolutive: basʼayʔṭaw
Entry: *basʼa·l | Absolutive: basʼalʔ | Generated Absolutive: basʼalʔ
Entry: basʼa·sʼa | Absolutive: basʼa·sʼa | Generated Absolutive: basʼa·sʼaw
Entry: basʼisʼi | Absolutive: basʼisʼi | Generated Absolutive: basʼisʼiw
Entry: *basʼu·l | Absolutive: basʼulʔ | Generated Absolutive: basʼulʔ
Entry: *bašamat | Absolutive: bašamaʔ | Generated Absolutive: bašamaʔ
Entry: *baša·m | Absolutive: bašamʔ | Generated Absolutive: bašamʔ
Entry: baše | Absolutive: baše | Generated Absolutive: bašew
Entry: baše·wi | Absolutive: baše·wi | Generated Absolutive: baše·wiw
Entry: *bašo·m | Absolutive: bašomʔ | Generated Absolutive: bašomʔ
Entry: *bašucʼaq | Absolutive: None | Generated Absolutive: bašucʼaʔ
Entry: *bašud | Absolutive: bašudu | Generated Absolutive: bašudu
Entry: *batayʔta | Absolutive: bahtayʔtaw | Generated Absolutive: batayʔtaw
Entry: *batihti | Absolutive: batihtiw | Generated Absolutive: batihtiw
Entry: *batilhla | Absolutive: batilhlaw | Generated Absolutive: batilhlaw
Entry: *batʰil | Absolutive: batʰilʔ | Generated Absolutive: batʰilʔ
Entry: *batʼac | Absolutive: batʼaʔ | Generated Absolutive: batʼaʔ
Entry: *batʼacʼaq | Absolutive: batʼacʼaʔ | Generated Absolutive: batʼacʼaʔ
Entry: *batʼoš | Absolutive: batʼoš | Generated Absolutive: batʼoš
Entry: *batʼuhli | Absolutive: batʼuhliw | Generated Absolutive: batʼuhliw
Entry: *batʼul | Absolutive: batʼulʔ | Generated Absolutive: batʼulʔ
Entry: baṭa | Absolutive: baṭa | Generated Absolutive: baṭaw
Entry: *baṭe·m | Absolutive: baṭemʔ | Generated Absolutive: baṭemʔ
Entry: *baṭi | Absolutive: baṭiw | Generated Absolutive: baṭiw
Entry: *baṭʰa·m | Absolutive: baṭʰamʔ | Generated Absolutive: baṭʰamʔ
Entry: baṭʰemʔda | Absolutive: baṭʰemʔda | Generated Absolutive: baṭʰemʔdaw
Entry: baṭʰe· | Absolutive: baṭʰe· | Generated Absolutive: baṭʰew
Entry: *baṭʼat | Absolutive: baṭʼaʔ | Generated Absolutive: baṭʼaʔ
Entry: *baṭʼawʔcʼic | Absolutive: baṭʼiawʔcʼiʔ | Generated Absolutive: baṭʼawʔcʼiʔ
Entry: *baṭʼa· | Absolutive: baṭʼaw | Generated Absolutive: baṭʼaw
Entry: *baʔbalhci | Absolutive: baʔbalhciw | Generated Absolutive: baʔbalhciw
